"id","name","birthdate","deathdate"
157,"Alan Yuen",null,null
158,"Alana Kaniewski",null,null
159,"Alanna Ubach","1975-10-03T00:00:00.000",null
160,"Alastair Duncan",null,null
161,"Alba Rohrwacher","1979-02-27T00:00:00.000",null
162,"Albert Brooks","1947-07-22T00:00:00.000",null
163,"Albert Delpy","1941-09-13T00:00:00.000",null
164,"Albert Dupontel","1964-01-11T00:00:00.000",null
165,"Albert Finney","1936-05-09T00:00:00.000",null
166,"Albert Hughes","1972-04-01T00:00:00.000",null
167,"Albert Maysles","1926-11-26T00:00:00.000","2015-03-05T00:00:00.000"
168,"Albert Salmi","1928-03-11T00:00:00.000","1990-04-22T00:00:00.000"
169,"Alden Ehrenreich","1989-11-22T00:00:00.000",null
170,"Aldis Hodge","1986-09-20T00:00:00.000",null
171,"Aldo Sambrell","1931-02-23T00:00:00.000","2010-07-10T00:00:00.000"
172,"Alec Asten",null,null
173,"Alejandro Agresti","1961-06-02T00:00:00.000",null
174,"Alejandro Amenábar","1972-03-31T00:00:00.000",null
175,"Alejandro Furth",null,null
176,"Alejandro G. Iñárritu","1963-08-15T00:00:00.000",null
177,"Alejandro Monteverde","1977-07-13T00:00:00.000",null
178,"Aleksa Palladino","1980-09-21T00:00:00.000",null
179,"Aleksandr Bashirov","1955-09-24T00:00:00.000",null
180,"Aleksandr Veledinskiy","1959-07-27T00:00:00.000",null
181,"Aleksey Chadov","1981-09-02T00:00:00.000",null
182,"Aleksey German","1976-09-04T00:00:00.000",null
183,"Aleksey Serebryakov","1964-06-03T00:00:00.000",null
184,"Alessandra Mastronardi","1986-02-18T00:00:00.000",null
185,"Alessandro Carloni",null,null
186,"Alessandro Nivola","1972-06-28T00:00:00.000",null
187,"Alessandro Preziosi","1973-04-19T00:00:00.000",null
188,"Álex Angulo","1953-04-12T00:00:00.000","2014-07-20T00:00:00.000"
189,"Alex Borstein","1973-02-15T00:00:00.000",null
190,"Alex Cox","1954-12-15T00:00:00.000",null
191,"Alex Craig Mann",null,null
192,"Álex de la Iglesia","1965-12-04T00:00:00.000",null
193,"Alex Désert","1968-07-18T00:00:00.000",null
194,"Alex Emanuel",null,null
195,"Alex Garland","1970-05-26T00:00:00.000",null
196,"Alex Gibney","1953-10-23T00:00:00.000",null
197,"Alex Huszar",null,null
198,"Alex Jennings","1957-05-10T00:00:00.000",null
199,"Alex Karpovsky",null,null
200,"Alex Kendrick",null,null
201,"Alex Lawther",null,null
202,"Alex Macqueen",null,null
203,"Alex McArthur","1957-03-06T00:00:00.000",null
204,"Alex Meraz","1985-01-10T00:00:00.000",null
205,"Alex Pettyfer","1990-04-10T00:00:00.000",null
206,"Alex Proyas","1963-09-23T00:00:00.000",null
207,"Alex Ranarivelo",null,null
208,"Alex Rivera",null,null
209,"Alex Rocco","1936-02-29T00:00:00.000","2015-07-18T00:00:00.000"
210,"Alex Russell","1987-12-11T00:00:00.000",null
211,"Alex Sanborn",null,null
212,"Alex Smith",null,null
213,"Alex van Warmerdam","1952-08-14T00:00:00.000",null
214,"Alex Veadov","1962-04-15T00:00:00.000",null
215,"Alex Vincent","1981-04-29T00:00:00.000",null
216,"Alex Winter",null,null
217,"Alex Zamm",null,null
218,"Alexa Davalos","1982-05-28T00:00:00.000",null
219,"Alexa Havins","1980-11-16T00:00:00.000",null
220,"Alexa PenaVega","1988-08-27T00:00:00.000",null
221,"Alexander Gould","1994-05-04T00:00:00.000",null
222,"Alexander Payne","1961-02-10T00:00:00.000",null
223,"Alexander Skarsgård","1976-08-25T00:00:00.000",null
224,"Alexander Vlahos",null,null
225,"Alexander Witt",null,null
226,"Alexander Wraith","1979-06-29T00:00:00.000",null
227,"Alexandra Breckenridge","1982-05-15T00:00:00.000",null
228,"Alexandra Callas",null,null
229,"Alexandra Holden","1977-04-30T00:00:00.000",null
230,"Alexandra Maria Lara","1978-11-12T00:00:00.000",null
231,"Alexandra Rapaport","1971-12-26T00:00:00.000",null
232,"Alexandra Silber","1983-07-03T00:00:00.000",null
233,"Alexandre Aja","1978-08-07T00:00:00.000",null
234,"Alexandre Rodrigues","1983-05-21T00:00:00.000",null
235,"Alexandru Potocean","1984-04-21T00:00:00.000",null
236,"Alexia Fast","1992-09-12T00:00:00.000",null
237,"Alexia Rasmussen",null,null
238,"Alexis Arquette","1969-07-28T00:00:00.000","2016-09-11T00:00:00.000"
239,"Alexis Biesiada",null,null
240,"Alexis Dziena","1984-07-08T00:00:00.000",null
241,"Alexis Kendra",null,null
242,"Alfie Allen","1986-09-12T00:00:00.000",null
243,"Alfonso Cuarón","1961-11-28T00:00:00.000",null
244,"Alfre Woodard","1952-11-08T00:00:00.000",null
245,"Alfred Enoch","1988-12-02T00:00:00.000",null
246,"Alfred Hitchcock","1899-08-13T00:00:00.000","1980-04-29T00:00:00.000"
247,"Ali Daniels","1963-06-13T00:00:00.000",null
248,"Ali Hillis","1978-12-29T00:00:00.000",null
249,"Alia Shawkat","1989-04-18T00:00:00.000",null
250,"Alice Braga","1983-04-15T00:00:00.000",null
251,"Alice Cooper","1948-02-04T00:00:00.000",null
252,"Alice Englert","1994-06-15T00:00:00.000",null
253,"Alice Evans",null,null
254,"Alice Greczyn","1986-02-06T00:00:00.000",null
255,"Alice Krige","1954-06-28T00:00:00.000",null
256,"Alice Olivia Clarke",null,null
257,"Alice Playten","1947-08-28T00:00:00.000","2011-06-25T00:00:00.000"
258,"Alice Pol",null,null
259,"Alice Wu","1970-04-21T00:00:00.000",null
260,"Alicia Goranson","1974-06-22T00:00:00.000",null
261,"Alicia Keys","1981-01-25T00:00:00.000",null
262,"Alicia Sixtos","1988-05-27T00:00:00.000",null
263,"Alicia Witt","1975-08-21T00:00:00.000",null
264,"Alicia Ziegler","1981-05-02T00:00:00.000",null
265,"Alicja Bachleda","1983-05-12T00:00:00.000",null
266,"Aliou Touré",null,null
267,"Alisha Boe","1997-03-06T00:00:00.000",null
268,"Alison Brie","1982-12-29T00:00:00.000",null
269,"Alison Chand",null,null
270,"Alison Doody","1966-11-11T00:00:00.000",null
271,"Alison Lohman","1979-09-18T00:00:00.000",null
272,"Alison Maclean",null,null
273,"Alissa Dean",null,null
274,"Alister Grierson",null,null
275,"Alix Freihage",null,null
276,"Allan Arkush","1948-04-30T00:00:00.000",null
277,"Allan Dwan","1885-04-03T00:00:00.000","1981-12-28T00:00:00.000"
278,"Allegra Carpenter",null,null
279,"Allen Coulter",null,null
280,"Allen Covert","1964-10-13T00:00:00.000",null
281,"Allen Hughes","1972-04-01T00:00:00.000",null
282,"Allen Leech","1981-05-18T00:00:00.000",null
283,"Allen Payne","1968-07-07T00:00:00.000",null
284,"Allison Anders","1954-11-16T00:00:00.000",null
285,"Allison Burnett",null,null
286,"Allison Dean",null,null
287,"Allison Miller","1985-09-02T00:00:00.000",null
288,"Allison Tolman","1981-11-18T00:00:00.000",null
289,"Ally Sheedy","1962-06-13T00:00:00.000",null
290,"Ally Walker","1961-08-25T00:00:00.000",null
291,"Alma Martinez","1953-03-18T00:00:00.000",null
292,"Alona Tal","1983-10-20T00:00:00.000",null
293,"Alonna Shaw",null,null
294,"Alun Armstrong","1946-07-17T00:00:00.000",null
295,"Alycia Debnam-Carey",null,null
296,"Alyson Hannigan","1974-03-24T00:00:00.000",null
297,"Alyson Stoner","1993-08-11T00:00:00.000",null
298,"Amal Al-Agroobi",null,null
299,"Amanda Detmer","1971-09-27T00:00:00.000",null
300,"Amanda Gusack",null,null
301,"Amanda Kearsan",null,null
302,"Amanda MacDonald",null,null
303,"Amanda Mealing","1967-04-22T00:00:00.000",null
304,"Amanda Plummer","1957-03-23T00:00:00.000",null
305,"Amanda Redman","1957-08-12T00:00:00.000",null
306,"Amanda Schull","1978-08-26T00:00:00.000",null
307,"Amanda Tilson",null,null
308,"Amanda Troop",null,null
309,"Amanda Wyss","1960-11-24T00:00:00.000",null
310,"Amat Escalante","1979-02-28T00:00:00.000",null
311,"Amber Armstrong",null,null
312,"Amber Benson","1977-01-08T00:00:00.000",null
313,"Amber Marie Bollinger",null,null
314,"Amber Marshall","1988-06-02T00:00:00.000",null
315,"Amber Rose Revah","1986-06-24T00:00:00.000",null
316,"Amber Stevens West","1986-10-07T00:00:00.000",null
317,"Amber Valletta","1974-02-09T00:00:00.000",null
318,"Amelia Giancarlo",null,null
319,"Amelia Warner","1982-06-04T00:00:00.000",null
320,"America Ferrera","1984-04-18T00:00:00.000",null
321,"America Olivo","1978-01-05T00:00:00.000",null
322,"Ami Ayalon",null,null
323,"Amiah Miller",null,null
324,"Amidou","1935-08-02T00:00:00.000","2013-09-19T00:00:00.000"
325,"Amir Farrokh Hashemian",null,null
326,"Amir Talai","1977-06-24T00:00:00.000",null
327,"Aml Ameen","1985-07-30T00:00:00.000",null
328,"Amos Oz","1939-05-04T00:00:00.000",null
329,"Amr Waked","1973-04-12T00:00:00.000",null
330,"Amrish Puri","1932-06-22T00:00:00.000","2005-01-12T00:00:00.000"
331,"Amy Badberg",null,null
332,"Amy Brenneman","1964-06-22T00:00:00.000",null
333,"Amy Bruni",null,null
334,"Amy Carson",null,null
335,"Amy Hargreaves","1970-01-27T00:00:00.000",null
336,"Amy Heckerling","1952-05-07T00:00:00.000",null
337,"Amy Hill","1953-05-09T00:00:00.000",null
338,"Amy Holden Jones",null,null
339,"Amy Irving","1953-09-10T00:00:00.000",null
340,"Amy Locane","1971-12-19T00:00:00.000",null
341,"Amy Lucas",null,null
342,"Amy Madigan","1950-09-11T00:00:00.000",null
343,"Amy Poehler","1971-09-16T00:00:00.000",null
344,"Amy Ryan","1968-05-03T00:00:00.000",null
345,"Amy Schumer","1981-06-01T00:00:00.000",null
346,"Amy Sedaris","1961-03-29T00:00:00.000",null
347,"Amy Steel","1960-05-03T00:00:00.000",null
348,"Amy Stewart",null,null
349,"Amy Warren",null,null
350,"Amy Yasbeck","1962-09-12T00:00:00.000",null
351,"Ana Claudia Talancón","1980-05-01T00:00:00.000",null
352,"Ana de la Reguera","1977-04-08T00:00:00.000",null
353,"Ana Gasteyer","1967-05-04T00:00:00.000",null
354,"Ana Imnadze",null,null
355,"Ana Maria Guran","1995-10-06T00:00:00.000",null
356,"Ana Vatamanu",null,null
357,"Analeine Cal y Mayor",null,null
358,"Anamaria Marinca","1978-04-01T00:00:00.000",null
359,"Anand Tucker","1963-06-24T00:00:00.000",null
360,"Anatoliy Solonitsyn","1934-08-30T00:00:00.000","1982-06-11T00:00:00.000"
361,"Anders Holm",null,null
362,"Andre Braugher","1962-07-01T00:00:00.000",null
363,"André Dussollier","1946-02-17T00:00:00.000",null
364,"André Øvredal",null,null
365,"André Ramiro","1981-01-14T00:00:00.000",null
366,"André Téchiné",null,null
367,"André the Giant","1946-05-19T00:00:00.000","1993-01-27T00:00:00.000"
368,"André Wilms",null,null
369,"Andrea Arnold","1961-04-05T00:00:00.000",null
370,"Andrea Corr","1960-12-12T00:00:00.000",null
371,"Andrea Di Stefano","1972-12-15T00:00:00.000",null
372,"Andrea Frankle",null,null
373,"Andrea Martin","1947-01-15T00:00:00.000",null
374,"Andrea Ros","1993-05-03T00:00:00.000",null
375,"Andrea Savage","1973-02-20T00:00:00.000",null
376,"Andrea Vergara","1984-11-10T00:00:00.000",null
377,"Andrei Tarkovsky","1932-04-04T00:00:00.000","1986-12-29T00:00:00.000"
378,"Andrej Nahtigal","1942-09-04T00:00:00.000",null
379,"Andrés Couturier","1977-02-05T00:00:00.000",null
380,"Andrés Montiel","1975-01-30T00:00:00.000",null
381,"Andrés Muschietti",null,null
382,"Andrew Adamson","1966-12-01T00:00:00.000",null
383,"Andrew Airlie","1961-09-18T00:00:00.000",null
384,"Andrew Berends",null,null
385,"Andrew Bergman","1945-02-20T00:00:00.000",null
386,"Andrew Bryniarski","1969-02-13T00:00:00.000",null
387,"Andrew Bujalski",null,null
388,"Andrew Currie",null,null
389,"Andrew Daly","1971-04-15T00:00:00.000",null
390,"Andrew Davis","1946-11-21T00:00:00.000",null
391,"Andrew Dice Clay","1957-09-29T00:00:00.000",null
392,"Andrew Dominik","1967-10-07T00:00:00.000",null
393,"Andrew Douglas",null,null
394,"Andrew Erwin",null,null
395,"Andrew Fiscella","1966-05-25T00:00:00.000",null
396,"Andrew Fleming","1965-12-30T00:00:00.000",null
397,"Andrew Garfield","1983-08-20T00:00:00.000",null
398,"Andrew Haigh",null,null
399,"Andrew Hyatt","1982-08-19T00:00:00.000",null
400,"Andrew Jarecki",null,null
401,"Andrew Keegan","1979-01-29T00:00:00.000",null
402,"Andrew Keir","1926-04-03T00:00:00.000","1997-10-05T00:00:00.000"
403,"Andrew Lawrence","1966-08-11T00:00:00.000",null
404,"Andrew Leman",null,null
405,"Andrew Morahan",null,null
406,"Andrew Niccol","1964-06-10T00:00:00.000",null
407,"Andrew Rannells","1978-08-23T00:00:00.000",null
408,"Andrew Robinson","1942-02-14T00:00:00.000",null
409,"Andrew Simpson",null,null
410,"Andrew Stanton","1965-12-03T00:00:00.000",null
411,"Andrew Steggall",null,null
412,"Andrew Traucki",null,null
413,"Andrew Wilson",null,null
414,"Andrey Konchalovskiy","1937-08-20T00:00:00.000",null
415,"Andrey Zvyagintsev","1964-02-06T00:00:00.000",null
416,"Andrucha Waddington",null,null
417,"Andrzej Bartkowiak","1950-03-06T00:00:00.000",null
418,"Andy Cadiff",null,null
419,"Andy Cohn",null,null
420,"Andy Davoli","1973-09-02T00:00:00.000",null
421,"Andy Dick","1965-12-21T00:00:00.000",null
422,"Andy Fickman",null,null
423,"Andy Garcia","1956-04-12T00:00:00.000",null
424,"Andy Lau","1961-09-27T00:00:00.000",null
425,"Andy On","1977-05-11T00:00:00.000",null
426,"Andy Richter","1966-10-28T00:00:00.000",null
427,"Andy Tennant","1955-06-15T00:00:00.000",null
428,"Ane Dahl Torp","1975-08-01T00:00:00.000",null
429,"Anella Vastola",null,null
430,"Ang Lee","1954-10-23T00:00:00.000",null
431,"Angel Coulby","1980-08-30T00:00:00.000",null
432,"Angel David",null,null
433,"Angela Bettis","1973-01-09T00:00:00.000",null
434,"Angela Cartwright","1952-09-09T00:00:00.000",null
435,"Angela Featherstone","1965-04-03T00:00:00.000",null
436,"Angela Jones",null,null
437,"Ángela Molina","1955-10-05T00:00:00.000",null
438,"Angela Nordeng",null,null
439,"Angela Robinson","1971-02-14T00:00:00.000",null
440,"Angela Sarafyan","1983-06-30T00:00:00.000",null
441,"Angelica Lee","1976-01-23T00:00:00.000",null
442,"Angélica Sancio",null,null
443,"Angeliki Papoulia",null,null
444,"Angelina Armani","1987-11-18T00:00:00.000",null
445,"Angelina Jolie Pitt","1975-06-04T00:00:00.000",null
446,"Angell Conwell","1983-08-02T00:00:00.000",null
447,"Angelo Anthony Pizza",null,null
448,"Angelo Pizzo",null,null
449,"Angelo Rossitto","1908-02-18T00:00:00.000","1991-09-21T00:00:00.000"
450,"Angelo Tsarouchas",null,null
451,"Angie Dickinson","1931-09-30T00:00:00.000",null
452,"Angus Barnett",null,null
453,"Angus Macfadyen","1963-09-21T00:00:00.000",null
454,"Angus Sampson","1979-02-12T00:00:00.000",null
455,"Angus Scrimm","1926-08-19T00:00:00.000","2016-01-09T00:00:00.000"
456,"Angus T. Jones","1993-10-08T00:00:00.000",null
457,"Anika Noni Rose","1972-09-06T00:00:00.000",null
458,"Anil Kapoor","1956-12-24T00:00:00.000",null
459,"Anil Kumar",null,null
460,"Anita Briem","1982-05-29T00:00:00.000",null
461,"Anita Mui","1963-10-10T00:00:00.000","2003-12-30T00:00:00.000"
462,"Anita Page","1910-08-04T00:00:00.000","2008-09-06T00:00:00.000"
463,"Anjelica Huston","1951-07-08T00:00:00.000",null
464,"Ann Dowd","1956-01-30T00:00:00.000",null
465,"Ann Gillis","1927-02-12T00:00:00.000",null
466,"Ann Miller","1923-04-12T00:00:00.000","2004-01-22T00:00:00.000"
467,"Ann Morgan Guilbert","1928-10-16T00:00:00.000","2016-06-14T00:00:00.000"
468,"Ann Talman","1957-09-13T00:00:00.000",null
469,"Ann-Margret","1941-04-28T00:00:00.000",null
470,"Anna Boden",null,null
471,"Anna Friel","1976-07-12T00:00:00.000",null
472,"Anna Gunn","1968-08-11T00:00:00.000",null
473,"Anna Harr",null,null
474,"Anna Karina","1940-09-22T00:00:00.000",null
475,"Anna Katarina",null,null
476,"Anna Katharina Schwabroh",null,null
477,"Anna Kendrick","1985-08-09T00:00:00.000",null
478,"Anna Madeley",null,null
479,"Anna Mastro",null,null
480,"Anna Muylaert","1964-04-21T00:00:00.000",null
481,"Anna Nakagawa","1965-08-30T00:00:00.000","2014-10-17T00:00:00.000"
482,"Anna Silk","1974-01-31T00:00:00.000",null
483,"Anna Vareschi",null,null
484,"Anna-Louise Plowman","1972-05-09T00:00:00.000",null
485,"Annabel Jankel","1955-08-01T00:00:00.000",null
486,"Annabella Sciorra","1960-03-29T00:00:00.000",null
487,"Annabelle Wallis",null,null
488,"Annabeth Gish","1971-03-13T00:00:00.000",null
489,"Anne Archer","1947-08-24T00:00:00.000",null
490,"Anne Bancroft","1931-09-17T00:00:00.000","2005-06-06T00:00:00.000"
491,"Anne Fletcher","1966-05-01T00:00:00.000",null
492,"Anne Fontaine","1959-07-15T00:00:00.000",null
493,"Anne Hathaway","1982-11-12T00:00:00.000",null
494,"Anne Heche","1969-05-25T00:00:00.000",null
495,"Anne Meara","1929-09-20T00:00:00.000","2015-05-23T00:00:00.000"
496,"Anne Parillaud","1960-05-06T00:00:00.000",null
497,"Anne-Marie Duff","1970-10-08T00:00:00.000",null
498,"Anneliese van der Pol","1984-09-23T00:00:00.000",null
499,"Annelyse Ahmad",null,null
500,"Annet Mahendru",null,null
501,"Annette Badland","1950-08-26T00:00:00.000",null
502,"Annie Golden","1951-10-19T00:00:00.000",null
503,"Annie Parisse","1975-07-31T00:00:00.000",null
504,"Anslem Richardson",null,null
505,"Anthony 'Citric' Campos",null,null
506,"Anthony Bell",null,null
507,"Anthony Burrell",null,null
508,"Anthony Chau-Sang Wong","1961-09-02T00:00:00.000",null
509,"Anthony Daniels",null,null
510,"Anthony Edwards","1962-07-19T00:00:00.000",null
511,"Anthony Heald","1954-02-20T00:00:00.000",null
512,"Anthony Hemingway",null,null
513,"Anthony Hickox",null,null
514,"Anthony Hopkins","1937-12-31T00:00:00.000",null
515,"Anthony Johnson",null,null
516,"Anthony L. Fernandez",null,null
517,"Anthony LaPaglia","1959-01-31T00:00:00.000",null
518,"Anthony Mann","1906-06-30T00:00:00.000","1967-04-29T00:00:00.000"
519,"Anthony Minghella","1954-01-06T00:00:00.000","2008-03-18T00:00:00.000"
520,"Anthony O'Brien",null,null
521,"Anthony Powell","1935-06-02T00:00:00.000",null
522,"Anthony Reynolds","1968-05-08T00:00:00.000",null
523,"Anthony Russo","1977-01-31T00:00:00.000",null
524,"Anthony Silverston",null,null
525,"Anthony Simcoe","1969-06-07T00:00:00.000",null
526,"Anthony Vallone",null,null
527,"Anthony Zerbe","1936-05-20T00:00:00.000",null
528,"Antoine Fuqua","1966-01-19T00:00:00.000",null
529,"Anton Corbijn","1955-05-20T00:00:00.000",null
530,"Antoni Corone",null,null
531,"Antonia Bird","1951-05-27T00:00:00.000","2013-10-24T00:00:00.000"
